time,l,r
2020-03-11 16:24:12.500,0,1
2020-03-11 16:24:12.740,0,1
2020-03-11 16:24:13.000,1,1
2020-03-11 16:24:13.240,1,1
2020-03-11 16:24:13.500,1,1
2020-03-11 16:24:13.740,0,1
2020-03-11 16:24:14.000,1,1
2020-03-11 16:24:14.240,1,1
2020-03-11 16:24:14.500,1,1
2020-03-11 16:24:14.740,1,1
2020-03-11 16:24:15.000,1,1
2020-03-11 16:24:15.240,0,1
2020-03-11 16:24:15.500,0,1
2020-03-11 16:24:15.740,1,1
2020-03-11 16:24:16.000,1,1
2020-03-11 16:24:16.240,0,1
2020-03-11 16:24:16.500,1,1
2020-03-11 16:24:16.740,1,1
2020-03-11 16:24:17.000,1,1
2020-03-11 16:24:17.240,1,1
2020-03-11 16:24:17.500,0,1
2020-03-11 16:24:17.740,1,1
2020-03-11 16:24:18.000,0,0
2020-03-11 16:24:18.240,0,1
2020-03-11 16:24:18.500,1,1
2020-03-11 16:24:18.740,0,1
2020-03-11 16:24:19.000,0,1
2020-03-11 16:24:19.240,0,1
2020-03-11 16:24:19.500,1,1
2020-03-11 16:24:19.740,1,1
2020-03-11 16:24:20.000,0,1
2020-03-11 16:24:20.240,1,1
2020-03-11 16:24:20.500,1,1
2020-03-11 16:24:20.740,1,1
2020-03-11 16:24:21.000,1,0
2020-03-11 16:24:21.240,1,1
2020-03-11 16:24:21.500,1,1
2020-03-11 16:24:21.740,1,0
2020-03-11 16:24:22.000,0,1
2020-03-11 16:24:22.240,1,1
2020-03-11 16:24:22.500,0,1
2020-03-11 16:24:22.740,1,1
2020-03-11 16:24:23.000,1,1
2020-03-11 16:24:23.240,0,1
2020-03-11 16:24:23.500,1,1
2020-03-11 16:24:23.740,1,1
2020-03-11 16:24:24.000,0,1
2020-03-11 16:24:24.240,1,1
2020-03-11 16:24:24.500,0,1
