time,l,iteration
2019-11-26 16:51:55.500,0,0
2019-11-26 16:56:32.740,0,0
2019-11-26 16:56:17.000,1,0
2019-11-26 16:52:14.240,1,0
2019-11-26 16:51:27.740,1,0
2019-11-26 16:51:21.000,1,0
2019-11-26 16:51:14.500,1,0
2019-11-26 16:53:13.000,0,0
2019-11-26 16:51:03.240,1,0
2019-11-26 16:54:45.000,1,0
2019-11-26 16:55:08.500,1,0
2019-11-26 16:54:30.240,1,0
2019-11-26 16:51:23.240,1,0
2019-11-26 16:56:24.500,1,0
2019-11-26 16:52:08.740,1,0
2019-11-26 16:54:23.000,1,0
2019-11-26 16:51:58.740,1,0
2019-11-26 16:57:06.000,1,0
2019-11-26 16:57:05.240,1,0
2019-11-26 16:56:10.740,1,0
2019-11-26 16:57:42.240,1,0
2019-11-26 16:53:03.240,1,0
2019-11-26 16:51:24.740,1,0
2019-11-26 16:52:49.500,1,0
2019-11-26 16:51:08.000,1,0
2019-11-26 16:56:31.500,1,0
2019-11-26 16:53:26.000,1,0
2019-11-26 16:56:59.000,0,0
2019-11-26 16:53:25.000,1,0
2019-11-26 16:51:23.500,1,0
2019-11-26 16:53:06.240,1,0
2019-11-26 16:56:49.240,1,0
2019-11-26 16:51:19.000,1,0
2019-11-26 16:56:24.740,0,0
2019-11-26 16:53:28.000,1,0
2019-11-26 16:53:09.500,0,0
2019-11-26 16:53:04.740,1,0
2019-11-26 16:56:42.740,0,0
2019-11-26 16:56:57.240,0,0
2019-11-26 16:51:54.240,1,0
2019-11-26 16:53:06.740,1,0
2019-11-26 16:54:29.000,1,0
2019-11-26 16:56:37.500,1,0
2019-11-26 16:54:53.000,1,0
2019-11-26 16:51:19.240,1,0
2019-11-26 16:55:12.740,1,0
2019-11-26 16:55:03.500,1,0
2019-11-26 16:52:03.500,1,0
2019-11-26 16:54:13.240,1,0
2019-11-26 16:55:11.240,1,0
2019-11-26 16:56:22.500,1,0
2019-11-26 16:56:59.500,0,0
2019-11-26 16:52:50.000,1,0
2019-11-26 16:54:19.240,1,0
2019-11-26 16:57:03.240,0,0
2019-11-26 16:53:29.000,1,0
2019-11-26 16:56:40.500,1,0
2019-11-26 16:52:56.500,1,0
2019-11-26 16:57:37.240,1,0
2019-11-26 16:54:35.000,1,0
2019-11-26 16:56:48.500,1,0
2019-11-26 16:54:45.740,1,0
2019-11-26 16:50:59.000,1,0
2019-11-26 16:57:03.500,0,0
2019-11-26 16:52:52.240,1,0
2019-11-26 16:54:54.240,1,0
2019-11-26 16:54:44.500,1,0
2019-11-26 16:57:12.500,1,0
2019-11-26 16:56:20.240,0,0
2019-11-26 16:52:14.500,1,0
2019-11-26 16:51:07.740,1,0
2019-11-26 16:51:30.000,1,0
2019-11-26 16:56:56.000,0,0
2019-11-26 16:51:29.740,1,0
2019-11-26 16:56:27.000,1,0
2019-11-26 16:51:00.000,1,0
2019-11-26 16:56:25.500,1,0
2019-11-26 16:57:18.240,1,0
2019-11-26 16:52:23.240,1,0
2019-11-26 16:57:00.000,0,0
2019-11-26 16:53:24.740,1,0
2019-11-26 16:51:22.240,1,0
2019-11-26 16:54:52.240,1,0
2019-11-26 16:56:41.240,1,0
2019-11-26 16:51:58.000,1,0
2019-11-26 16:57:43.500,1,0
2019-11-26 16:53:16.240,0,0
2019-11-26 16:57:05.000,1,0
2019-11-26 16:53:02.500,1,0
